POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Year
1034,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2018
1035,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2018
1036,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2018
1037,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2018
1038,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2018
1039,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2018
1040,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2018
1041,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2018
1042,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2018
1043,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2018
1044,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2018
1045,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2018
1046,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2018
1047,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2018
1048,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2018
1049,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2018
1050,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2018
1051,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2018
1052,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2018
1053,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2018
1054,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2018
1055,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2018
1056,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2018
1057,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2018
1058,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2018
1059,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2018
1060,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2018
1061,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2018
1062,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2018
1063,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2018
1064,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2018
1065,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2018
1066,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2018
1067,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2018
1068,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2018
1069,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2018
1070,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2018
1071,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2018
1072,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2018
1073,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2018
1074,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2018
1075,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2018
1076,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2018
1077,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2018
1078,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2018
1079,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2018
1080,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2018
1081,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2018
1082,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2018
1083,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2018
1084,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2018
1085,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2018
1086,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2018
1087,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2018
1088,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2018
1089,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2018
1090,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2018
1091,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2018
1092,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2018
1093,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2018
1094,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2018
1095,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2018
1096,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2018
1097,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2018
1098,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2018
1099,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2018
1100,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2018
1101,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2019
1102,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2019
1103,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2019
1104,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2019
1105,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2019
1106,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2019
1107,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2019
1108,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2019
1109,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2019
1110,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2019
1111,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2019
1112,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2019
1113,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2019
1114,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2019
1115,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2019
1116,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2019
1117,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2019
1118,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2019
1119,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2019
1120,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2019
1121,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2019
1122,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2019
1123,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2019
1124,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2019
1125,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2019
1126,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2019
1127,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2019
1128,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2019
1129,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2019
1130,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2019
1131,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2019
1132,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2019
1133,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2019
1134,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2019
1135,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2019
1136,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2019
1137,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2019
1138,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2019
1139,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2019
1140,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2019
1141,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2019
1142,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2019
1143,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2019
1144,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2019
1145,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2019
1146,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2019
1147,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2019
1148,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2019
1149,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2019
1150,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2019
1151,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2019
1152,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2019
1153,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2019
1154,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2019
1155,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2019
1156,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2019
1157,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2019
1158,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2019
1159,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2019
1160,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2019
1161,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2019
1162,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2019
1163,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2019
1164,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2019
1165,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2019
1166,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2019
1167,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2019
1168,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2019
1169,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2019
1170,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2019
1171,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2019
1172,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2019
1173,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2019
1174,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2019
1175,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2019
1176,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2019
1177,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2019
1178,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2019
1179,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2019
1180,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2019
1181,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2019
1182,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2019
1183,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2019
1184,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2019
1185,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2019
1186,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2019
1187,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2019
1188,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2019
1189,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2019
1190,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2019
1191,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2019
1192,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2019
1193,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2019
1194,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2019
1195,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2019
1196,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2019
1197,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2019
1198,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2019
1199,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2019
1200,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2019
